ticker,outstanding_share
AAM,10.5
AIC,100.0
API,84.1
ASG,90.8
BHK,4.0
BHP,9.2
BID,7021.4
BIG,16.0
BLF,11.5
BTU,3.6
BTW,9.4
CCA,18.1
CCI,17.5
CDO,31.5
BMG,5.3
BSQ,45.0
BTH,25.0
BWE,219.9
CAN,5.0
CDC,44.0
CHC,6.7
CHP,146.9
CII,624.9
CKD,31.0
CLG,21.2
CNT,65.4
DBM,1.9
DCM,529.4
DCS,60.3
DMN,12.5
DSN,12.1
DXS,579.1
DGT,79.0
DP1,21.0
DP3,21.5
DPS,31.1
DRL,9.5
FIC,127.0
FI0:00,
EFI,10.9
EPC,9.4
FDC,38.6
FGL,14.7
GMC,33.0
GTS,28.5
HD6,15.1
FUEABVND,
FUEFCV50,
FUEMAVND,
GIC,12.1
HHN,1.4
ITC,95.9
KDM,7.6
KST,6.0
LEC,26.1
HES,9.3
HFB,9.1
HKT,6.1
HLD,55.0
HPG,7675.5
HRC,30.2
LIG,94.2
LIX,64.8
MCM,110.0
MEL,15.0
MRF,6.8
MSR,1099.2
ICN,30.6
IDJ,173.5
IJC,377.7
IMP,154.0
INC,2.0
MTS,15.0
MWG,1478.5
NAF,55.6
NCG,119.8
NJC,4.8
PAT,25.0
PCE,10.0
PGV,1123.5
PLX,1270.6
PMB,12.0
PRC,3.1
PRE,104.4
PTE,12.1
PTO,1.2
QHW,8.0
RCC,32.1
SBT,814.5
SC5,15.0
SD9,34.2
SHG,27.0
SHP,101.2
SJM,5.0
SPH,10.0
SSF,3.1
SSG,5.0
SVD,27.6
TA6,3.0
TCJ,10.0
TCL,30.2
THB,11.4
TIP,65.0
TIX,30.0
TMT,36.9
TQW,8.9
TSJ,74.8
TT6,20.5
TYA,30.7
VCA,15.2
VE2,2.1
VLB,46.7
VLG,14.2
VOS,140.0
VPA,15.1
VTJ,11.4
AMD,163.5
BEL,6.0
BMK,8.0
C21,18.1
C69,61.8
CCP,2.4
CHS,28.4
CNG,35.1
CST,42.8
CTW,28.0
DAC,1.0
DC4,95.3
DLR,4.5
DUS,5.6
DVT,0.3
DXG,1018.9
DXL,4.0
EVG,215.2
FIT,339.9
FT1,7.1
GCB,4.0
GDW,9.5
HDA,27.6
HHV,497.4
HNA,235.2
HPW,74.2
HQC,576.6
HU4,15.0
HUT,1068.3
IFS,87.1
IHK,2.1
KIP,9.8
KPF,60.9
L40,10.8
LCD,1.5
LHC,14.4
MCG,52.1
MGR,20.0
MND,2.2
MST,83.6
NHV,5.5
NKG,447.6
NTW,10.0
NVP,11.0
PBC,116.7
PCF,3.0
PHN,7.3
POM,278.5
PTX,6.4
PVH,21.0
RAT,5.9
SBG,50.0
SCO,4.1
SFG,47.9
SGP,216.3
SJ1,43.5
SPV,10.8
SQC,107.3
SRC,28.1
SVG,29.4
SVT,17.3
SZC,180.0
SZL,27.3
TBC,63.5
TBH,93.1
TLH,112.3
TNI,52.5
TNM,5.8
TQN,3.6
TR1,4.6
TS3,3.9
TVB,112.1
USD,5.6
UXC,35.4
VFS,140.0
VMK,7.9
VND,1522.3
VPI,320.0
VQC,3.6
VSH,236.2
VTG,18.6
VTP,121.8
YBC,11.8
ACV,3582.3
AGP,26.6
ALV,5.7
AVF,43.3
BHH,6.0
BMV,24.2
BRC,12.4
BSL,45.0
CID,0.9
CMC,5.1
CMX,101.9
CTB,13.7
DAE,1.9
DDM,12.2
DNA,56.3
DTT,8.2
EIN,45.4
FBC,3.7
FUCVREIT,
FUEDCMID,
FUEKIV30,
GEG,358.3
HAI,182.7
HC3,20.7
HHS,432.0
HJS,21.0
HNI,23.8
HPM,3.8
HWS,87.4
ILB,38.2
KTC,36.5
L35,3.3
L63,8.3
LM7,5.0
LPB,2987.3
MES,18.6
NCS,17.9
NDP,11.1
NDX,9.6
NET,22.4
NLS,5.0
NO1,24.0
NSG,8.6
NTF,6.0
NTT,23.5
OCB,2663.1
OCH,200.0
PET,106.7
PLC,80.8
PMW,50.0
PND,6.7
PSB,50.0
PSD,51.8
PSG,35.0
PVO,8.9
QBS,69.3
QHD,6.6
RIC,70.4
SDX,2.5
SMN,4.4
SP2,20.6
SRA,43.2
SRF,33.8
SSI,1971.9
THD,385.0
TJC,8.6
TKA,3.8
TMG,18.0
TRC,29.1
TTZ,7.6
TVN,678.0
TXM,7.0
UDL,6.5
VC9,16.7
VDB,8.7
VDP,22.1
VHM,4107.4
VNF,31.7
VNM,2090.0
VNR,200.6
VNX,3.2
VNZ,29.4
VPR,5.0
VSC,374.4
VTE,15.6
VTX,21.0
XHC,21.1
XPH,13.0
ABT,11.8
ADG,21.4
ANV,266.3
ASP,37.3
BAL,2.0
BCV,1.8
BNW,37.5
BQB,5.8
BRR,112.5
BT6,32.9
BTG,1.2
BVB,640.8
BVG,9.8
CEO,567.4
CFM,2.0
CK8,3.0
CLX,86.6
CMI,16.0
DAS,4.2
DIC,26.1
DLT,2.5
DTG,9.6
EBS,10.0
ECI,1.8
F88,8.3
FCN,157.4
FHS,12.8
FIR,70.7
FRT,170.3
GIL,101.6
GSM,28.6
HGT,20.0
HMR,5.6
HPB,3.7
HU3,10.0
HVG,227.0
IPA,213.8
LCS,7.6
LSG,90.0
MH3,24.0
MPT,17.1
MQN,8.2
MTG,10.5
NAC,2.8
NDT,15.6
NHA,48.6
NHP,27.6
NNC,21.9
PAS,28.0
PIV,17.3
PJT,24.9
PNJ,337.9
PSE,12.5
PTP,6.7
ROS,567.6
SAP,1.3
SCC,4.8
SDN,3.0
SGR,69.9
SHE,15.0
SII,64.5
SIP,242.1
SJC,6.9
SKH,33.0
STP,8.0
TB8,1.3
TDH,112.7
TDW,8.5
TED,12.5
TEL,5.0
TET,5.7
TLP,236.6
TNT,51.0
TV1,26.7
TVM,2.4
UMC,1.8
VMS,9.0
VNC,21.0
VNI,10.4
VNS,67.9
VPB,7933.9
VPG,88.4
VRG,25.9
VSN,80.9
VTB,10.8
VTQ,17.1
AAT,70.8
ABB,1035.0
AME,65.2
ANT,20.5
BCB,5.7
BKC,23.5
BMC,12.4
BSC,3.2
BWS,100.0
BXH,3.0
CAP,15.3
CAR,5.6
CLH,12.0
CMV,18.2
CNN,8.8
CRC,68.4
DDB,12.0
DHM,34.5
DSG,30.0
DVN,237.0
DVW,2.3
EIC,36.7
ELC,104.8
FCC,6.0
FCM,46.2
FRM,11.7
HBH,16.0
HCM,1080.0
HDW,31.9
HFX,1.3
HLA,34.4
HMD,7.0
HOM,72.0
HVH,43.5
ISG,8.8
IST,15.0
KAC,24.0
KBC,941.8
KHD,3.3
KHS,13.9
L18,45.7
LCM,24.6
M10,31.8
MCO,4.1
